resource_name,ad_group,link_text
customers/9948697111/assets/325438002046,OMS,Order Management
customers/9948697111/assets/325438002049,OMS,Inventory Visibility
customers/9948697111/assets/325438002052,OMS,Returns Management
customers/9948697111/assets/325438002055,OMS,AI Order Routing
customers/9948697111/assets/325438002058,OMS,Talk to an Expert
customers/9948697111/assets/325438002061,OMS,Customer Stories
customers/9948697111/assets/325438002064,NB - Manufacturers,Manufacturing Commerce
customers/9948697111/assets/325438002067,NB - Manufacturers,B2B Dealer Portal
customers/9948697111/assets/325438002070,NB - Manufacturers,Order Management
customers/9948697111/assets/325438002073,NB - Manufacturers,ERP Integration
customers/9948697111/assets/325438002076,NB - Manufacturers,Request a Demo
customers/9948697111/assets/325438002079,NB - Manufacturers,Customer Stories
customers/9948697111/assets/325438002082,NB - Wholesalers,Wholesale Commerce
customers/9948697111/assets/325438002085,NB - Wholesalers,B2B Self-Service
customers/9948697111/assets/325438002088,NB - Wholesalers,Order Management
customers/9948697111/assets/325438002091,NB - Wholesalers,Inventory Visibility
customers/9948697111/assets/325438002094,NB - Wholesalers,Dropship & 3PL
customers/9948697111/assets/325438002097,NB - Wholesalers,Request a Demo
customers/9948697111/assets/325438002100,NB - General B2B,B2B Commerce Platform
customers/9948697111/assets/325438002103,NB - General B2B,Agentic Commerce
customers/9948697111/assets/325438002106,NB - General B2B,Order Management
customers/9948697111/assets/325438002109,NB - General B2B,Catalog & Pricing
customers/9948697111/assets/325438002112,NB - General B2B,AI Product Search
customers/9948697111/assets/325438002115,NB - General B2B,Request a Demo
customers/9948697111/assets/325438002118,NB - Distributors,Distributor Commerce
customers/9948697111/assets/325438002121,NB - Distributors,B2B Customer Portal
customers/9948697111/assets/325438002124,NB - Distributors,Inventory Management
customers/9948697111/assets/325438002127,NB - Distributors,Order Management
customers/9948697111/assets/325438002130,NB - Distributors,Dropship Capability
customers/9948697111/assets/325438002133,NB - Distributors,Request a Demo
