Keyword,Ad Group,Campaign,Match Type,Current URL,Current Intent Level,Recommended URL (with anchor if applicable),Recommended Intent Level,Anchor Section Topic,Relevance Score (1-10),CTA on Page,Rationale,Gap Flag,Priority
[wholesale trade portal],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/#b2b-commerce,HIGH,B2B Commerce,8,Watch Demo; Talk to Sales,"Ad group default: NB - Wholesalers with anchor for ""trade portal""",No,High
[vendor managed inventory platform],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/inventory-visibility/,HIGH,Main page,8,Watch Demo; Talk to Sales,"Keyword contains ""inventory"" pattern",No,High
[wholesale inventory management system],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/inventory-visibility/,HIGH,Main page,8,Watch Demo; Talk to Sales,"Keyword contains ""inventory"" pattern",No,High
[distribution portal software],NB - Distributors,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/distributor/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Distributors,No,High
[distribution order management system],NB - Distributors,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,8,Watch Demo; Talk to Sales,"Keyword contains ""order management|oms"" pattern",No,High
[wholesale commerce software],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Wholesalers,No,High
[b2b digital portal],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - General B2B,No,Medium
[distribution ecommerce platform],NB - Distributors,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/distributor/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Distributors,No,High
[enterprise omnichannel commerce],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: OMS,No,Medium
[order management system for b2b],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: OMS,No,Medium
[distributor commerce platform],NB - Distributors,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/distributor/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Distributors,No,Medium
[oms for ecommerce businesses],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: OMS,No,Medium
[manufacturing quote automation],NB - Manufacturers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/manufacturing/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Manufacturers,No,Low
[distributor b2b portal],NB - Distributors,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/distributor/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Distributors,No,Low
[dropship supplier integration],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/connect-hub/,HIGH,Main page,8,Watch Demo; Talk to Sales,"Keyword contains ""connect|integration"" pattern",No,Low
[manufacturer b2b portal],NB - Manufacturers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/manufacturing/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Manufacturers,No,Low
[order management system demo],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: OMS,No,Low
[multi warehouse order management],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: OMS,No,Low
[manufacturing commerce platform],NB - Manufacturers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/manufacturing/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Manufacturers,No,Low
[wholesale dealer portal],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Wholesalers,No,Low
[distributor catalog management],NB - Distributors,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/catalog-price-promo/,HIGH,Main page,8,Watch Demo; Talk to Sales,"Keyword contains ""catalog"" pattern",No,Low
[wholesale volume based pricing],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - Wholesalers,No,Low
[enterprise b2b ecommerce platform],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,Ad group default: NB - General B2B,No,Low
