ad_group,keyword,match_type,reason
NB - General B2B,b2b ecommerce,PHRASE,Route to B2B EComm
NB - General B2B,b2b e-commerce,PHRASE,Route to B2B EComm
NB - General B2B,b2b ecommerce platform,PHRASE,Route to B2B EComm
NB - General B2B,b2b ecommerce platforms,PHRASE,Route to B2B EComm
NB - General B2B,b2b ecommerce solution,PHRASE,Route to B2B EComm
NB - General B2B,b2b ecommerce solutions,PHRASE,Route to B2B EComm
NB - General B2B,b2b ecommerce software,PHRASE,Route to B2B EComm
NB - General B2B,b2b ecommerce services,PHRASE,Route to B2B EComm
NB - General B2B,unified commerce,PHRASE,Route to B2B Other Keywords
NB - General B2B,composable commerce,PHRASE,Route to B2B Other Keywords
NB - General B2B,headless commerce,PHRASE,Route to B2B Other Keywords
